Manufacturer	Model	Price	Store Location	Store Link	Step Angle	Max Amperage	Holding Torque	Rotor Inertia	Inductance	Resistance	Weight	Body	Length	Specs Link	COMMENTS		
TriangleLabs	42HW25-1004-01A	£15.79	China; Aliexpress	https://aliexpress.com/item/32768043304.html	1.8 deg	1.0 A			6.7 mH	5.50 Ω	150 g	N17	20 mm				
Motech Motors	1705HS200A	£15.85	UK; Ooznest	https://ooznest.co.uk/product/nema17-stepper-motors/	1.8 deg	2.0 A	82 N/cm	102 g/cm²	3.3 mH	2.00 Ω	550 g	N17	60 mm				
Hanpose	17HS3401S-FS	£15.99	China; Aliexpress	https://aliexpress.com/item/1005007638308966.html?	1.8 deg	1.3 A	28 N/cm	34 g/cm²	2.8 mH	2.40 Ω	220 g	N17	34 mm				
Motech Motors	1704HSM168A	£16.15	UK; Ooznest	https://ooznest.co.uk/product/nema17-stepper-motors/	0.9 deg	1.7 A	44 N/cm	68 g/cm²	2.8 mH	1.65 Ω	350 g	N17	48 mm				
Motech Motors	1404HS100A	£16.50	UK; Ooznest	https://ooznest.co.uk/product/nema14-stepper-motors/	1.8 deg	1.7 A	37 N/cm	54 g/cm²	2.3 mH	1.65 Ω	280 g	N14	48 mm				
LDO	42STH20-1004ASH	£16.99	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-stepper-motor-42sth20-1004as/	1.8 deg	1.0 A	18 N/cm	21.4 g/cm²	5.0 mH	3.60 Ω	127 g	N17	20 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=29	(HT)		
Motech Motors	1405HS100A	£17.50	UK; Ooznest	https://ooznest.co.uk/product/nema14-stepper-motors/	1.8 deg	1.5 A	41 N/cm	54 g/cm²	3.8 mH	2.80 Ω	290 g	N14	52 mm				
LDO	35STH52-1504AH	£17.95	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-35sth52-1504ah-stepper-motor/	1.8 deg	1.5 A	37 N/cm	52 g/cm²	3.8 mH	2.80 Ω	290 g	N14	52 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=32	"Speedy Power" motor (HT)		
LDO	42STH40-2004MAH	£17.95	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-stepper-motor-42sth40-2004mah/	0.9 deg	2.0 A	35 N/cm	71 g/cm²	1.1 mH	2.80 Ω	280 g	N17	40 mm	https://cf.3dea.co.nz/shop/wp-content/uploads/2023/04/LDO-42STH48-2004MAHVRN_drw-2048x1448.png	(HT)		
LDO	42STH48-2004AC	£17.95	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-stepper-motor-42sth48-2004ac/	1.8 deg	2.0 A	59 N/cm	68 g/cm²	3.0 mH	1.40 Ω	350 g	N17	48 mm	https://github.com/LDOMotors/ldo-stepper-datasheets/blob/master/nema17(42mm_frame)/LDO-42STH48-2004AC%20RevA.pdf			
LDO	42STH48-2504AH(S55)	£18.95	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-stepper-motor-42sth48-2504ahs55/	1.8 deg	2.5 A	55 N/cm	84 g/cm²	1.5 mH	1.20 Ω	350 g	N17	48 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=36	55mm Shaft; "Speedy Power" motor (HT)		
LDO	42STH48-2504AC	£18.95	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-stepper-motor-42sth48-2504ac/	1.8 deg	2.5 A	55 N/cm	84.5 g/cm²	1.5 mH	1.20 Ω	350 g	N17	48 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=6			
LDO	42STH48-2504AH(S46)	£18.95	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-stepper-motor-42sth48-2504ahs46/	1.8 deg	2.5 A	55 N/cm	84 g/cm²	1.5 mH	1.20 Ω	350 g	N17	48 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=24			
Shenyang Motor	42BYGH2904-A-24NQ1	£19.89	China; Aliexpress	https://aliexpress.com/item/1005008963716394.html	1.8 deg	1.5 A	42 N/cm		2.0 mH	1.00 Ω		N17	46 mm	https://github.com/Sovol3d/SV08/blob/main/PDF/02%E7%94%B5%E6%9C%BA%20shengyang%20motor/42BYGH2904-A-24NQ1%20%E5%A4%96%E5%BD%A2%E5%9B%BE%EF%BC%88JXHSV05P-03018-h%2042-48%E7%94%B5%E6%9C%BA(%E5%B7%A6%E4%BE%A7)%EF%BC%89.pdf	Sovol SV08 Motor; Has press-fit pulley (20T 2GT) at varying height		
LDO	42STH48-2804AC-R	£19.99	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-42sth48-2804ac-r-super-power-stepper-motor-round-shaft/	1.8 deg	2.8 A	42 N/cm	84 g/cm²	0.6 mH	0.70 Ω	350 g	N17	48 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=31	Round Shaft		
LDO	42STH48-2804AC	£19.99	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-42sth48-2804ac-super-power-stepper-motor/	1.8 deg	2.8 A	42 N/cm	84.5 g/cm²	0.6 mH	0.70 Ω	350 g	N17	48 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=31			
Hanpose	17HS9401	£20.19	China; Aliexpress	https://aliexpress.com/item/1005006287690988.html?s	1.8 deg	2.8 A	92 N/cm	83 g/cm²	3.8 mH	1.50 Ω	740 g	N17	80 mm				
Hanpose	17HS6401S-0.9	£21.69	China; Aliexpress	https://aliexpress.com/item/1005001900032766.html	0.9 deg	1.8 A	70 N/cm	72 g/cm²	5.4 mH	2.30 Ω	450 g	N17	60 mm		Has options to buy 1, 3 or 5		
LDO	35STH52-2004AH(S35)	£21.95	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-35sth52-2004ahs35-stepper-motor/	1.8 deg	2.0 A	40 N/cm	40 g/cm²	2.1 mH	1.34 Ω	280 g	N14	52 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=38	35mm Shaft		
LDO	42STH48-2804AH-R	£22.99	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-42sth48-2804ah-r-super-power-stepper-motor/	1.8 deg	2.8 A	42 N/cm	84 g/cm²	0.6 mH	0.70 Ω	350 g	N17	48 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=27	Round Shaft		
Leadshine / YunTaiKe	42CM04-1A	£23.09	China; Aliexpress	https://vi.aliexpress.com/item/1005001280739311.html?	1.8 deg	1.0 A	45 N/cm	54 g/cm²	7.9 mH	4.00 Ω	280 g	N17	39 mm		Leadshine part, re-sold by Cloudray		
LDO	42STH48-2504MAH	£23.94	UK; PrintyPlease	https://www.printyplease.uk/42sth482504mah?search=%20Motor&description=true	0.9 deg	2.5 A	45 N/cm	85 g/cm²	1.5 mH	1.20 Ω	350 g	N17	48 mm				
LDO	42STH48-2804AH (S55)	£23.95	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-42sth48-2804ah-s55-super-power-stepper-motor-high-temperature/	1.8 deg	2.8 A	42 N/cm	84 g/cm²	0.6 mH	0.70 Ω	350 g	N17	48 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=30	55mm Shaft'; "Super Power" motor (HT)		
LDO	42STH48-2804AH	£23.95	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-42sth48-2804ah-super-power-stepper-motor-high-temperature/	1.8 deg	2.8 A	42 N/cm	84 g/cm²	0.6 mH	0.70 Ω	350 g	N17	48 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=27			
LDO	42STH48-2004MAH(VRN)	£23.95	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-42sth48-2004mahvrn/	0.9 deg	2.0 A	40 N/cm	68 g/cm²	2.0 mH	1.45 Ω	280 g	N17	48 mm	https://cf.3dea.co.nz/shop/wp-content/uploads/2023/04/LDO-42STH48-2004MAHVRN_drw-2048x1448.png	(HT)		
LDO	42STH48-2804AH	£23.99	UK; PrintyPlease	https://www.printyplease.uk/2804ah?search=%20Motor&description=true	1.8 deg	2.8 A	42 N/cm	84 g/cm²	0.6 mH	0.70 Ω	350 g	N17	48 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=27			
Unknown	42HB48F105AC2-02	£24.09	China; Aliexpress	https://aliexpress.com/item/1005008488721147.html	1.8 deg	1.5 A	52 N/cm	82 g/cm²	4.0 mH	2.00 Ω	360 g	N17			Flsun S1 ABC Motor; Has press-fit pulley (30T 2GT)		
LDO	42STH48-2804AH (S80)	£24.95	UK; Onetwo3d	https://www.onetwo3d.co.uk/product/ldo-42sth48-2804ah-s80-super-power-stepper-motor/	1.8 deg	2.8 A	42 N/cm	84 g/cm²	0.6 mH	0.70 Ω	350 g	N17	48 mm	https://kb-3d.com/store/index.php?controller=attachment&id_attachment=26	80mm Shaft'; "Super Power" motor (HT)		
LDO	42STH48-2504MAC(F)	£25.79	China; Aliexpress	https://aliexpress.com/item/1005004013859717.html	0.9 deg	2.5 A	45 N/cm	85 g/cm²	1.5 mH	1.20 Ω	350 g	N17	48 mm				
Moons	MS17HD6P420I-04	£28.89	China; Aliexpress	https://aliexpress.com/item/1005006520180988.html	1.8 deg	2.0 A	67 N/cm	82 g/cm²	2.7 mH	1.30 Ω	360 g	N17	48 mm				
